head	relation	tail
GAS8-AS1	expression association	NEAT1
LINC00261	expression association	CASP9
LINC00518	ceRNA or sponge	ABCC1
TGFB2	expression association	LNCRNA-ATB
TUG1	expression association	HSPB1
YY1	transcriptional regulation	GAS5
TWIST1	transcriptional regulation	GAS1RR
DANCR	ceRNA or sponge	MDM2
TTN-AS1	ceRNA or sponge	KLF15
SNHG1	epigenetic regulation	CDKN1A
SOX2	transcriptional regulation	COMETT
ZEB1-AS1	expression association	MMP9
NEAT1	ceRNA or sponge	CYTH3
CCAT1	epigenetic regulation	miR-218
CCAT2	expression association	APC
CYTOR	ceRNA or sponge	HIF1A
MEG3	expression association	MDM2
TP73-AS1	ceRNA or sponge	EZH2
EZR-AS1	expression association	Vimentin
MALAT1	ceRNA or sponge	miR-200s
ERLNC1	expression association	CDK4
HOTAIR	epigenetic regulation	KIF4A
FOXD3-AS1	expression association	PCNA
KLF3-AS1	ceRNA or sponge	SIRT1
DANCR	ceRNA or sponge	miR-135a
PSMA3-AS1	ceRNA or sponge	RAB22A
H19	ceRNA or sponge	PAPPA
MNX1-AS1	ceRNA or sponge	BCL2
MEG3	expression association	HIF1A
LINC01139	ceRNA or sponge	MYBL2
MALAT1	ceRNA or sponge	CORO1C
SOX2-OT	ceRNA or sponge	FOXP4
HCG18	ceRNA or sponge	MTDH
LINC01605	expression association	MMP9
PVT1	expression association	miR181a-5p
UCA1	ceRNA or sponge	HOXB3
AC010789.1	ceRNA or sponge	ZEB1
AK136714	interact with protein	ELAVL1
FTX	ceRNA or sponge	BCL2L2
OIP5-AS1	ceRNA or sponge	miR-25-3p
CCAT1	expression association	MMP2
NNT-AS1	ceRNA or sponge	CDK6
CRNDE	ceRNA or sponge	IRX5
NEAT1	ceRNA or sponge	miR-128
AWPPH	ceRNA or sponge	FZD7
SNHG7	expression association	miR-34a
TDRG1	ceRNA or sponge	HDGF
SNHG4	ceRNA or sponge	KDM3A
CRYBG3	expression association	MTBP
LINC01638	ceRNA or sponge	BATF3
ERLNC1	expression association	MMP2
H19	ceRNA or sponge	GIT2
LINC00518	ceRNA or sponge	AP1S2
H19	expression association	miR-140
MIR155HG	ceRNA or sponge	SOX10
TTN-AS1	ceRNA or sponge	ZEB1
RBM24	expression association	MALAT1
KCNQ1	ceRNA or sponge	MIR133B
DUXAP9	expression association	Cyclin D1
CAIF	expression association	IL6
ELDR	interact with protein	ILF3
CCAT1	interact with protein	SUV39H1
CDKN2B-AS1	ceRNA or sponge	SMAD3
PURPL	transcriptional regulation	TP53
DCST1-AS1	ceRNA or sponge	FAIM2
AB073614	expression association	STAT3
SBF2-AS1	ceRNA or sponge	MBNL3
TOB1-AS1	ceRNA or sponge	TSPYL4
FEZF1-AS1	interact with protein	STAT3
PINT87aa	expression association	FOXM1
LUCAT1	expression association	NRF2
YY1	transcriptional regulation	SNHG5
UCA1	transcriptional regulation	MYC
MALAT1	expression association	p-AKT
PANDAR	expression association	Vimentin
JPX	transcriptional regulation	Cyclin D1
MEG3	ceRNA or sponge	miR-494
LINC01606	expression association	miR-423-5p
IATPR	expression association	SOX2
HOTAIR	expression association	PHOX2A
OIP5-AS1	ceRNA or sponge	FOXD1
TUG1	ceRNA or sponge	miR-145-5p
circ-PSEN1	ceRNA or sponge	CFL2
CTBP1-DT	ceRNA or sponge	ATG14
LINC00665	ceRNA or sponge	PAK2
LNCDQ	epigenetic regulation	CDH1
BDNF-AS	expression association	BDNF
LUCAT1	expression association	CDKN1A
NEAT1	ceRNA or sponge	CD276
KTN1-AS1	ceRNA or sponge	PDPK1
PANTR1	expression association	CDKN2C
XIST	ceRNA or sponge	miR-140
FBXL19-AS1	expression association	Cyclin D1
ZEB1-AS1	expression association	BCL2
TUG1	ceRNA or sponge	c-MET
TUG1	ceRNA or sponge	FOXA1
AFAP1-AS1	ceRNA or sponge	VEGFA
HOTAIR	ceRNA or sponge	FUT6
CRNDE	expression association	Caspase3
PCAT29	expression association	MAPK1
GLCC1	interact with protein	IGF2BP1
LINC01287	expression association	CCND1
CASC11	ceRNA or sponge	CDK1
SNHG15	ceRNA or sponge	CDC42
SP1	transcriptional regulation	LINC00673
lncRNA-6195	interact with protein	ENO1
KLF5	interact with protein	CASC15
H19	ceRNA or sponge	PIK3R3
TINCR	expression association	TRIP13
TMPOP2	expression association	E-cadherin
AFAP1-AS1	expression association	IRF7
TUG1	expression association	CASP3
SPRY4-IT1	expression association	CTNNB1
GAS5	expression association	BAK1
HOTAIR	ceRNA or sponge	STC2
TINCR	ceRNA or sponge	PDK1
HOTAIR	ceRNA or sponge	TUBGCP5
GAS5	expression association	E-cadherin
CDKN2B-AS1	epigenetic regulation	miR-99a-5p
NEAT1	expression association	TNFRSF1B
miR-196a	ceRNA or sponge	GAS5
RB1-DT	interact with protein	DNMT3A
MALAT1	ceRNA or sponge	IL-21R
HULC	ceRNA or sponge	TLR4
CASC19	ceRNA or sponge	CEMIP
NBAT1	epigenetic regulation	DKK1
miR-21	expression association	SNHG1
SBF2-AS1	ceRNA or sponge	FOXM1
LINC00858	ceRNA or sponge	RAD18
SH3PXD2A-AS1	interact with protein	EZH2
MIR22HG	ceRNA or sponge	NCOR2
LBX2-AS1	expression association	CDKN1A
TGFB1	expression association	HOTAIR
SNHG15	ceRNA or sponge	HDAC2
GATA3-AS1	expression association	GATA3
CDKN2B-AS1	expression association	SLC2A1
LINC00899	expression association	RBL2
HAND2-AS1	ceRNA or sponge	KLF14
FOXD2-AS1	expression association	BCL2
LINC00312	ceRNA or sponge	miR-197-3p
DANCR	ceRNA or sponge	E2F2
DLX6-AS1	ceRNA or sponge	miR-497-5p
Linc-00313	transcriptional regulation	SHCBP1
H19	expression association	PPP1CA
NEAT1	expression association	CCNE1
VIM-AS2	expression association	SNAI1
NPTN-IT1	expression association	NOTCH1
ZNF281	expression association	NANOG
CCND2-AS1	expression association	VIM
MALAT1	expression association	PTK2
ARID1B	expression association	HOXA-AS2
SP1	transcriptional regulation	PVT1
HOTAIR	interact with protein	EED
CCAT2	expression association	PCNA
XLOC_006753	expression association	Caspase9
CDKN2B-AS1	epigenetic regulation	ERRFI1
FENDRR	ceRNA or sponge	FOXF1
MCM3AP-AS1	ceRNA or sponge	SPARC
SNHG15	ceRNA or sponge	miR-338-3p
LINC01006	ceRNA or sponge	CTNNB1
CEBPB	transcriptional regulation	LOC105374325
LINC01385	ceRNA or sponge	TLR4
PCA3	ceRNA or sponge	miR-106b
BANCR	expression association	MAPK3
MT1JP	expression association	BCL2L11
LOXL1-AS1	ceRNA or sponge	PIK3CA
AFAP1-AS1	ceRNA or sponge	EGFR
AZIN2-sv	epigenetic regulation	PTEN
MALAT1	interact with protein	NFKB1
miR-215	ceRNA or sponge	PCAT1
PVT1	ceRNA or sponge	LASP1
HAGLR	ceRNA or sponge	FGF2
MGAT3-AS1	ceRNA or sponge	TLR4
RAD51-AS1	transcriptional regulation	RAD51
SMAD4	transcriptional regulation	LINP1
SNHG9	epigenetic regulation	GSTP1
UCA1	expression association	SPRY1
H19	expression association	PIK3CA
SNHG16	ceRNA or sponge	ZEB1
LINP1	expression association	PRSS8
MALAT1	expression association	CASP3
TINCR	ceRNA or sponge	miR-7-5P
CASC2	expression association	miR-24-3p
LINC00115	ceRNA or sponge	ZNF596
FOXC1	transcriptional regulation	HOTAIR
HOXA11-AS	ceRNA or sponge	ERBB2
NRIP1	ceRNA or sponge	AKT1
H19	ceRNA or sponge	miR-194-5p
GAS5	interact with protein	UPF1
CEBPB	interact with protein	HAS2-AS1
AWPPH	interact with protein	EZH2
MEG3	ceRNA or sponge	miR-182
CASC2	expression association	AKT1
miR-145	expression association	GAS5
SNHG6	expression association	E2F8
SRF	transcriptional regulation	HOTAIR
ZFAS1	epigenetic regulation	TXNIP
SNHG15	ceRNA or sponge	RAB14
lncRNA-BCAT1	expression association	CCND1
WT1-AS	expression association	MAPK1
RP11-468E2.5	interact with protein	STAT5A
NDRG1-ot1	transcriptional regulation	NDRG1
CBR3-AS1	expression association	TGFB1
MEG3	ceRNA or sponge	SIRT1
TUG1	ceRNA or sponge	FLOT1
HOTTIP	expression association	HOXA13
LOC90784	expression association	MMP2
HOTAIR	ceRNA or sponge	ELAVL1
UCA1	ceRNA or sponge	miR-214
CDKN2B-AS1	ceRNA or sponge	CDK6
HOTAIR	ceRNA or sponge	MIR204
SNHG1	ceRNA or sponge	CDK7
CHAR	ceRNA or sponge	PTEN
MEG3	expression association	MIR211
NEAT1	expression association	CDKN3A
HOXA-AS2	expression association	SOX4
CYCSP5	expression association	E-cadherin
CYTOR	ceRNA or sponge	EGFR
MEG3	transcriptional regulation	CDKN1A
CCAT2	expression association	Cyclin D1
AK131850	expression association	TGFB1
CDKN2B-AS1	interact with protein	WDR5
METTL3	expression association	BAX
ALKBH5	epigenetic regulation	NEAT1
NEAT1	ceRNA or sponge	ROCK1
HOTTIP	expression association	UCP2
AK126698	expression association	CTNNB1
LINC00511	expression association	ABCB1
DANCR	expression association	p-p38MAPK
IATPR	expression association	POU5F1
ZFPM2-AS1	interact with protein	MIF
HOTAIR	expression association	DNMT3A
LINC01518	ceRNA or sponge	miR-216b-5p
RAPIA	ceRNA or sponge	ITGB1
TCONS_00024652	ceRNA or sponge	MIR21
THORLNC	interact with protein	IGF2BP1
NBR2	expression association	HEY2
DUXAP8	ceRNA or sponge	ZNF277
SNHG4	ceRNA or sponge	PTEN
NR026833.1	ceRNA or sponge	SNAI1
LINC00858	ceRNA or sponge	TRIM44
CAT104	ceRNA or sponge	ZEB1
H19	expression association	Caspase3
MALAT1	expression association	miR-448
MIAT	ceRNA or sponge	STIM1
TUG1	expression association	SOX4
SNX17	ceRNA or sponge	IGF1
AFAP1-AS1	expression association	RAC2
BANCR	expression association	MAP1LC3A
YAP1	transcriptional regulation	MT1DP
HCP5	ceRNA or sponge	EPHA7
MIF-AS1	ceRNA or sponge	NDUFA4
HCP5	ceRNA or sponge	miR-128-3p
FALEC	ceRNA or sponge	CRKL
FGF13-AS1	expression association	MYC
LINC00858	ceRNA or sponge	MIR3182
MALAT1	expression association	HMMR
EZR-AS1	expression association	MMP9
LOC728196	ceRNA or sponge	TCF7
LINC00628	expression association	p-PI3K
AOC4P	transcriptional regulation	MMP9
NKILA	expression association	RELA
HOTAIR	interact with protein	AKT1
MIAT	expression association	TGFB1
MALAT1	expression association	FHL1
HOTAIR	expression association	HOXC6
MIR31HG	expression association	CDKN1A
SNHG16	expression association	TLR7
MALAT1	expression association	DCTN6
LINC00240	ceRNA or sponge	STAT3
CDKN2B-AS1	expression association	DIABLO
HOXA11-AS	interact with protein	WDR5
MALAT1	expression association	BCL2
TP53	transcriptional regulation	ACTG1P25
MAGI1-IT1	expression association	miR-302d-3p
LUCAT1	expression association	TP53
NEAT1	ceRNA or sponge	miR-193a-3p
PAX5	expression association	DLEU2
HOXA-AS2	interact with protein	KDM1A
PANDAR	expression association	MMP2
MDRL	ceRNA or sponge	MIR484
MIR31HG	ceRNA or sponge	ST7L
LINC00974	expression association	alpha-1 type I collagen
XLOC_006390	ceRNA or sponge	miR-331-3p
LNCARSR	interact with protein	YAP1
TUG1	ceRNA or sponge	MMP14
HOTAIR	expression association	MAP1LC3B
LIN28A	interact with mRNA	MALAT1
METTL3	interact with protein	THAP7-AS2
TP53	transcriptional regulation	TUG1
CASC2	expression association	TRIM16
n384546	ceRNA or sponge	AKT3
SLC16A1-AS1	epigenetic regulation	miR-141
TWIST1	transcriptional regulation	DUXAP9
TINCR	ceRNA or sponge	TCF4
MYC	ceRNA or sponge	RHPN1-AS1
TASR	expression association	AXL
AGER-1	ceRNA or sponge	AGER
MEG3	epigenetic regulation	miR-200b
LOC105375913	ceRNA or sponge	SNAI1
LINC01234	ceRNA or sponge	PAK4
MALAT1	expression association	AKAP9
KRT7-AS	interact with mRNA	KRT7
PHACTR2-AS1	epigenetic regulation	SUV39H1
miR181a-5p	expression association	PVT1
MEG3	ceRNA or sponge	miR-214
PDIA3P1	ceRNA or sponge	RELA
DLEU1	expression association	Caspase9
TP53COR1	expression association	BBC3
UCA1	ceRNA or sponge	ABCB1
NKILA	expression association	miR-21
SLC20A1	ceRNA or sponge	MMP3
HOTTIP	ceRNA or sponge	MYC
TUG1	ceRNA or sponge	TNF
METTL3	expression association	BCL2
TP73-AS1	expression association	CASP9
LINC02273	epigenetic regulation	AGR2
MEG3	expression association	SOX2
NONHSAT113026	transcriptional regulation	SNAI2
SNHG17	ceRNA or sponge	H2AX
ICMT-DT	ceRNA or sponge	YTHDF1
MEG3	expression association	miR-345-3p
REST	transcriptional regulation	ITIH4-AS1
miR-1	ceRNA or sponge	MALAT1
NEAT1	ceRNA or sponge	miR-101
ARHGAP27P1	epigenetic regulation	CDKN1C
HOXA-AS3	ceRNA or sponge	CDKN1B
SNHG20	ceRNA or sponge	MIR197
MIR4435-2HG	epigenetic regulation	E-cadherin
LOC401317	expression association	CDKN1A
lncRNA 430945	expression association	RHOA
CASC15	ceRNA or sponge	TWIST1
CHRF	expression association	MIR10B
NBAT1	expression association	SOX9
IGF1	expression association	CRNDE
DRAIC	expression association	NFKB1
SNHG17	expression association	CDKN1C
GAS5	expression association	MMP2
HOXA13	epigenetic regulation	HOTTIP
TUSC7	expression association	SOCS5
LINC00511	ceRNA or sponge	EYA1
CDKN2B-AS1	epigenetic regulation	ZBTB16
MALAT1	ceRNA or sponge	ANXA2
MALAT1	expression association	PTBP3
MT1JP	expression association	PTEN
HOXB-AS3	transcriptional regulation	MCM6
MEG3	epigenetic regulation	miR-200a
LOC441178	expression association	ROCK1
SNHG17	ceRNA or sponge	miR-942
lncRNA2448-11	expression association	IL1B
NEAT1	ceRNA or sponge	SPAG9
LNC-HZ01	expression association	JUN
LINC02381	ceRNA or sponge	miR-27a
ZFPM2-AS1	ceRNA or sponge	TRIM24
SNHG12	transcriptional regulation	SNAI2
miR-190	ceRNA or sponge	LNMICC
MALAT1	expression association	TOX
GHET1	expression association	CDH2
ATB	ceRNA or sponge	YY1
HULC	ceRNA or sponge	HMGA2
TP53COR1	ceRNA or sponge	alpha-synuclein
ZEB1-AS1	ceRNA or sponge	HOXB8
Rg3	transcriptional regulation	CCAT1
FOXA1	chromatin looping	PCSEAT
NR2F2-AS1	expression association	RAC1
SNHG16	ceRNA or sponge	SMAD2
HOTAIR	expression association	RBM38
OIP5-AS1	ceRNA or sponge	miR-30c-5p
OIP5-AS1	ceRNA or sponge	MTDH
SNHG1	expression association	miR-137
DLEU2	ceRNA or sponge	miR-337-3p
MIR122	expression association	UCA1
PCGEM1	ceRNA or sponge	miR-152-3p
MIR100HG	epigenetic regulation	LATS1
TFDP1	expression association	TLR4
AFAP1-AS1	expression association	LASP1
LINC00173	expression association	NDRG1
LOXL1-AS1	ceRNA or sponge	miR-143-3p
PPM1A-AS	expression association	NOTCH4
THRIL	ceRNA or sponge	miR-125b
XIST	ceRNA or sponge	IL6
HOTAIR	epigenetic regulation	TET
HOXB-AS3	transcriptional regulation	PCNA
RUNX1	transcriptional regulation	MT1DP
MYC	transcriptional regulation	GATA2-AS1
miR-129-5p	ceRNA or sponge	GACAT3
LINC00994	ceRNA or sponge	RUNX2
SNHG1	ceRNA or sponge	MIA3
LINC00858	ceRNA or sponge	MIR422A
KLF3-AS1	expression association	YBX1
CCEPR	expression association	CTNNB1
SNHG1	ceRNA or sponge	miR-424
HIF1A-AS2	ceRNA or sponge	TRIM44
FAM225A	ceRNA or sponge	MIR1275
YY1	transcriptional regulation	HCG11
NONHSAT141924	transcriptional regulation	p-CREB
POU5F1	transcriptional regulation	MALAT1
SMIM31	ceRNA or sponge	AGR2
ABALON	expression association	BCL2L1
TP53COR1	expression association	TGFB1
CCAT1	ceRNA or sponge	HMGA1
sONE	expression association	miR-16
H19	expression association	let-7
NUTM2A-AS1	ceRNA or sponge	HIF1A
DUXAP9	ceRNA or sponge	MMP9
LINC00665	ceRNA or sponge	AKR1B10
MCM3AP-AS1	ceRNA or sponge	HMGB1
SPRY4-IT1	epigenetic regulation	CDH1
MALAT1	epigenetic regulation	BMI1
PILRLS	interact with protein	TCL1A
TP53COR1	ceRNA or sponge	SMOC1
PCAT1	expression association	RBM5
SNHG3	expression association	GSK3B
MGAT3-AS1	ceRNA or sponge	PTEN
HOTAIR	expression association	MMP2
IATPR	expression association	VIM
EGFR-AS1	expression association	p-STAT
APTR	interact with protein	SUZ12
HOTAIR	ceRNA or sponge	FGF1
MEG3	ceRNA or sponge	TIGIT
WT1-AS	expression association	TGFB1
IGF2-AS	ceRNA or sponge	KLK4
FBXL19-AS1	expression association	MMP2
H19	ceRNA or sponge	ZEB2
AFAP1-AS1	expression association	RHOA
CYTOR	ceRNA or sponge	SIRT2
LINC00511	expression association	MRP1
TINCR	interact with protein	BRAF
SNHG16	ceRNA or sponge	ATG4B
HOTAIR	ceRNA or sponge	KIT
NNT-AS1	expression association	RUNX2
FOXCUT	expression association	BCL2
PCGEM1	ceRNA or sponge	LGMN
MALAT1	interact with mRNA	VEGFA
SNHG1	ceRNA or sponge	Cyclin D1
CASC2	expression association	RASSF6
SNHG22	ceRNA or sponge	Gal-1
XIST	ceRNA or sponge	WNT1
SNHG14	ceRNA or sponge	miR-101
BBOX1-AS1	ceRNA or sponge	MELK
DUXAP10	ceRNA or sponge	GPR39
ASMTL-AS1	ceRNA or sponge	LAMC1
PCGEM1	expression association	MMP2
NR_023387	expression association	MGP
CAR10	ceRNA or sponge	PDPK1
SOX9	transcriptional regulation	FARSA-AS1
KCNQ1OT1	ceRNA or sponge	ITGAV
DLEU2	ceRNA or sponge	E2F7
HOTAIR	epigenetic regulation	NCAPH
IRF4	transcriptional regulation	SOX2-OT
MALAT1	transcriptional regulation	ABI3BP
AFAP1-AS1	expression association	MMP2
PVT1	ceRNA or sponge	SLC2A1
SNHG7	expression association	FAIM2
POU5F1	transcriptional regulation	NEAT1
FGD5-AS1	ceRNA or sponge	VEGFA
MEG3	expression association	BCL2
IQANK1	expression association	Col II
GAS5	transcriptional regulation	PARP1
LINC02582	ceRNA or sponge	CHEK1
NR2F1-AS1	ceRNA or sponge	CCND1
SNAI3-AS1	interact with protein	UPF1
MEG3	expression association	SNAI1
AFAP1-AS1	expression association	TWIST1
FAFASA-AS1	ceRNA or sponge	FARSA
MNX1-AS1	ceRNA or sponge	BCL9
CYTOR	ceRNA or sponge	HOXA1
LOC100505817	ceRNA or sponge	WT1
NEAT1	ceRNA or sponge	miR-146b-5p
CYTOR	expression association	MKI67
SNHG1	ceRNA or sponge	miR-195
LINC00460	ceRNA or sponge	miR-206
NEAT1	interact with protein	SIN3A
ZFAS1	ceRNA or sponge	miR-329
PVT1	expression association	MCL1
SNHG16	ceRNA or sponge	HMGB1
LncDACH1	interact with protein	YAP1
TUG1	ceRNA or sponge	HIF1A
MEG3	ceRNA or sponge	PDCD4
PCAT6	ceRNA or sponge	MIR15A
AFAP1-AS1	expression association	VIM
OIP5-AS1	ceRNA or sponge	OLR1
BCYRN1	ceRNA or sponge	CUEDC2
HIF1A-AS2	interact with protein	PHLDA1
DBH-AS1	interact with protein	FN1
MALAT1	ceRNA or sponge	miR-22-3p
XIST	ceRNA or sponge	RAC1
DANCR	expression association	IGF2
miR-223-5p	transcriptional regulation	TP73-AS1
NEAT1	ceRNA or sponge	TXNIP
HOTAIRM1	epigenetic regulation	HOXA1
HAND2-AS1	expression association	MIR21
LINC02041	expression association	Jagged-1
LSINCT5	expression association	PSPC1
MALAT1	ceRNA or sponge	JAG1
LINC-ROR	expression association	PKM
MEG3	epigenetic regulation	TERT
miR-142-3p	ceRNA or sponge	MALAT1
LINC00243	ceRNA or sponge	PDK4
TP53	transcriptional regulation	LOC401317
FEZF1-AS1	epigenetic regulation	CDH1
LINC00304	expression association	CCNA1
HOXA-AS2	expression association	IGF2
RP11-468E2.5	interact with protein	STAT3
MEG3	ceRNA or sponge	miR-223
H19	ceRNA or sponge	VDR
FOXD2-AS1	expression association	BAX
HOTAIR	ceRNA or sponge	SIRT1
LINC01559	ceRNA or sponge	YY1AP1
SNHG15	ceRNA or sponge	ICAM1
ZEB2-AS1	interact with protein	PTEN
TOB1-AS1	ceRNA or sponge	IP6K2
GAS5	ceRNA or sponge	MIR21
DLX6-AS1	ceRNA or sponge	MMP2
DLEU2	expression association	EZH2
LINC00511	ceRNA or sponge	KDM2A
MEG3	expression association	PI3K
MIAT	transcriptional regulation	miR-150
MEG3	ceRNA or sponge	miR-145-5p
SNHG20	ceRNA or sponge	ADAM10
UCA1	ceRNA or sponge	NR2C2
CBR3-AS1	expression association	CCND1
NEAT1	ceRNA or sponge	MIR361
CDKN2B-AS1	expression association	Cyclin D1
AGAP2-AS1	ceRNA or sponge	JDP2
ANCR	interact with protein	EZH2
LINC00974	expression association	alpha-SMA
LINC00265	expression association	EGFR
LINC01342	ceRNA or sponge	HIF3A
SBF2-AS1	ceRNA or sponge	TWF1
HOTAIR	epigenetic regulation	HOXD10
LINC00662	ceRNA or sponge	WNT0A
LncND	ceRNA or sponge	miR-143-3p
SNHG7	expression association	CDKN2B
PVT1	ceRNA or sponge	WT1
TTN-AS1	ceRNA or sponge	Neuropilin-1
CCAT2	expression association	BAX
LINC01116	expression association	GAPDH
LINC01138	ceRNA or sponge	SP1
MIR4435-2HG	ceRNA or sponge	NTRK3
HOTAIR	ceRNA or sponge	MIR217
lnc-Sox5	interact with protein	ELAVL1
APTR	ceRNA or sponge	miR-126
MCM3AP-AS1	ceRNA or sponge	miR-34a
LINC00342	expression association	PTEN
SNHG1	ceRNA or sponge	SIAH1
TARID	epigenetic regulation	TCF21
NEAT1	expression association	MIR92B
LINC00161	ceRNA or sponge	PTEN
FGF14-AS2	ceRNA or sponge	miR-205-5p
NPTN-IT1	ceRNA or sponge	miR-548k
OIP5-AS1	expression association	OIP5
TGFB1	expression association	AK056155
DANCR	interact with protein	STAT3
GAS5	ceRNA or sponge	TIMP3
LINC00467	expression association	IGF2BP3
LINC00261	expression association	SNAI1
MALAT1	expression association	SMAD3
FOXD3-AS1	ceRNA or sponge	CDK6
MIR4435-2HG	transcriptional regulation	ERK
TUG1	ceRNA or sponge	TGFB1
TMEM238L	interact with protein	VIM
SNHG5	ceRNA or sponge	DNAJB9
NEAT1	ceRNA or sponge	KLF3
EWSR1	ceRNA or sponge	SOX2
PCAT1	ceRNA or sponge	RAP1A
LPAL2	ceRNA or sponge	EGFR
CDKN2B-AS1	interact with protein	CDKN1A
LINC01139	expression association	LDHA
FOXD2-AS1	ceRNA or sponge	CCND1
HOTAIR	expression association	CTNNB1
SNHG8	ceRNA or sponge	miR-542-3p
MIR222HG	expression association	MIR221
MEG3	interact with mRNA	ATG3
MIR22HG	transcriptional regulation	CTNNB1
TUG1	transcriptional regulation	MT2A
MEG8	ceRNA or sponge	Notch
MALAT1	epigenetic regulation	CTNNB1
NRON	expression association	HIF1A
PVT1	ceRNA or sponge	miR-497
SNHG17	ceRNA or sponge	E2F3
ARHGAP27P1	epigenetic regulation	p16
NEAT1	ceRNA or sponge	SOX9
LINC00968	ceRNA or sponge	PROX1
NEAT1	expression association	CCL11
Giver	interact with protein	NONO
PVT1	ceRNA or sponge	miR-126
MIR503HG	expression association	WNT1
FTH1P3	expression association	SP1
IATPR	expression association	ZEB1
B4GALT1-AS1	ceRNA or sponge	SOX9
CCAT1	ceRNA or sponge	STAT3
DACH1	expression association	SERCA2a
EPIST	expression association	CYC1
BCYRN1	interact with mRNA	BCL2L1
TMPO-AS1	ceRNA or sponge	E2F2
CASC11	epigenetic regulation	PTEN
EMSLR	expression association	E2F1
SNHG7	ceRNA or sponge	PI3KR3
LINC00210	ceRNA or sponge	miR-328-5p
TINCR	ceRNA or sponge	TNF
FOXC1	expression association	HOTTIP
ABHD11-AS1	interact with protein	RHOC
FOXD2-AS1	ceRNA or sponge	AKT1
MELTF-AS1	ceRNA or sponge	TCF4
UCA1	ceRNA or sponge	miR-206
TMEM238L	expression association	CTNNB1
LINC00312	expression association	AKT1
ANKRD40CL	expression association	BAX
LINC00342	ceRNA or sponge	MDM2
SNHG12	ceRNA or sponge	EIF5A
MALAT1	expression association	MMP13
PART1	ceRNA or sponge	MIR122
LINC00520	ceRNA or sponge	OSMR
H19	expression association	PKM
LINC00467	ceRNA or sponge	KIF23
MX1	interact with protein	galectin-9
LINC01278	ceRNA or sponge	ACTG2
DRAIC	ceRNA or sponge	SATB1
SSTR5-AS1	interact with protein	NONO
LINC00210	ceRNA or sponge	MIR328
LNMICC	expression association	FABP5
EMX2OS	ceRNA or sponge	AKT3
HOXA11-AS	ceRNA or sponge	PIM1
MNX1-AS1	ceRNA or sponge	COMMD8
H19	expression association	miR-130a-3p
SNHG20	ceRNA or sponge	LIN28A
ZEB2-AS1	expression association	CTNNB1
NCK-AS1	ceRNA or sponge	MIR137
BG981369	expression association	SOX4
SOCS2-AS1	ceRNA or sponge	SOCS2
SP1	transcriptional regulation	SNHG4
CCAT1	ceRNA or sponge	HOXB13
FOXD2-AS1	expression association	p-PI3K
CASC9	interact with protein	EZH2
LINC00662	ceRNA or sponge	IL22
ZEB1-AS1	ceRNA or sponge	TRIB2
HOTAIR	ceRNA or sponge	miR-22
UCA1	ceRNA or sponge	PPP1R13L
PCAT6	ceRNA or sponge	HNRNPA2B1
IATPR	expression association	MYC
TUG1	transcriptional regulation	MET
GHRL	transcriptional regulation	H19
