Regulator	SearchregulatoryMechanism	Target
HULC	ceRNA or sponge	RTKN
HOXA-AS2	transcriptional regulation	HOXA3
MIAT	ceRNA or sponge	EPHA2
LINC01510	ceRNA or sponge	CDK14
SNHG16	ceRNA or sponge	MUC5AC
EGFR-AS1	ceRNA or sponge	miR-223
SNHG16	ceRNA or sponge	miR-124-3p
DGCR5	expression association	CTNNB1
DGCR5	expression association	CCND1
DGCR5	expression association	GSK3B
HIF1A-AS2	transcriptional regulation	TP53
SNHG6	interact with protein	SNAI1
SNHG6	interact with protein	SNAI2
SNHG6	ceRNA or sponge	NUAK1
LOC728196	ceRNA or sponge	TCF7
LINC00052	ceRNA or sponge	SOX9
MEG3	expression association	NFKB1
MEG3	expression association	TP53
BABAM2-AS1	transcriptional regulation	NR4A3
ZFHX4-AS1	transcriptional regulation	FAT4
MEG3	ceRNA or sponge	miR-494
HOTTIP	ceRNA or sponge	TGFBR1
HOTTIP	ceRNA or sponge	TGFBR2
DGCR5	ceRNA or sponge	miR-195
WDR86-AS1	ceRNA or sponge	LITAF
CDKN2B-AS1	expression association	ATM
CDKN2B-AS1	expression association	E2F1
OIP5-AS1	ceRNA or sponge	AGPAT2
NORAD	ceRNA or sponge	miR-202-5p
GACAT3	ceRNA or sponge	NAMPT
GClnc1	expression association	CDKN1A
GClnc1	interact with protein	TP53
ZEB1-AS1	ceRNA or sponge	ZEB1
PVT1	epigenetic regulation	ANGPTL4
WSPAR	expression association	TIMMDC1
AL589986.2	interact with protein	MDM2
AL589986.2	interact with protein	DHX9
C5orf66-AS1	ceRNA or sponge	RING1
SNHG1	expression association	NOTCH1
ADAMTS9-AS2	ceRNA or sponge	ITGA6
SNHG6	ceRNA or sponge	MAPK6
LINC00472	ceRNA or sponge	PDCD4
snaR	expression association	TGFB1
AFAP1-AS1	expression association	AFAP1
SNHG4	ceRNA or sponge	miR-224-3p
HOTAIR	ceRNA or sponge	ST8SIA4
UCA1	expression association	MAPK1
UCA1	expression association	miR-143
FENDRR	ceRNA or sponge	miR-761
LINC01503	ceRNA or sponge	FOXK1
LINC00662	interact with mRNA	LIN28A
TUG1	ceRNA or sponge	YAP1
PVT1	ceRNA or sponge	miR-26b
LINC00844	transcriptional regulation	NDRG1
CYTOR	ceRNA or sponge	miR-497
IFNG-AS1	interact with protein	ESRP2
TP73-AS1	ceRNA or sponge	SDAD1
AR	transcriptional regulation	TMPO-AS1
MEG3	expression association	SMAD7
CEBPB	transcriptional regulation	UCA1
CDKN2B-AS1	ceRNA or sponge	ARHGAP18
CDKN2B-AS1	expression association	KLF13
LINC00707	interact with protein	ELAVL1
PDCD4-AS1	interact with mRNA	PDCD4
CCDC144NL-AS1	expression association	MMP9
CCDC144NL-AS1	expression association	VIM
MIR4435-2HG	expression association	FZD7
CDKN2B-AS1	ceRNA or sponge	NAP1L1
OIP5-AS1	expression association	OIP5
MAP3K20-AS1	transcriptional regulation	CDKN1A
ZEB1	transcriptional regulation	HCCL5
STAT3	transcriptional regulation	LUCAT1
LUCAT1	ceRNA or sponge	STAT3
NEAT1	ceRNA or sponge	CDK14
NEAT1	ceRNA or sponge	CXCR4
LINC00460	ceRNA or sponge	SPHK2
CDKN2B-AS1	epigenetic regulation	CDKN1A
CERNA2	ceRNA or sponge	CDK6
PANTR1	expression association	ROCK1
LSINCT5	interact with protein	HMGA2
LSINCT5	ceRNA or sponge	STAT3
LSINCT5	ceRNA or sponge	BCL2L1
CDKN2B-AS1	expression association	miR-323b-5p
CDKN2B-AS1	expression association	TLR4
CDKN2B-AS1	expression association	MYD88
CDKN2B-AS1	expression association	RELA
AC123023.1	expression association	JAG2
CARMN	ceRNA or sponge	AXIN2
CASC2	expression association	miR-21
XIST	ceRNA or sponge	ZEB1
XIST	ceRNA or sponge	ZEB2
MEG3	expression association	miR-96
MEG3	expression association	TPM1
UCA1	ceRNA or sponge	ZEB2
GAS5	ceRNA or sponge	miR-26a
MIR31HG	expression association	HIF1A
MIR31HG	expression association	CDKN1A
NEAT1	ceRNA or sponge	LEF1
NORAD	ceRNA or sponge	FOXO6
BDNF-AS	expression association	CASP3
NBAT1	interact with protein	SOX9
SOX9	transcriptional regulation	NBAT1
UCA1	ceRNA or sponge	miR-185-5p
SNHG12	ceRNA or sponge	FOXP1
FOXD2-AS1	expression association	AKT1
IGF2-AS	expression association	IGF2
THRIL	ceRNA or sponge	CCL2
STAT3	transcriptional regulation	HNF1A-AS1
HNF1A-AS1	expression association	NOTCH1
HNF1A-AS1	expression association	HES1
HOTTIP	expression association	CTNNB1
FER1L4	expression association	PTEN
FLVCR1-DT	ceRNA or sponge	E2F3
SNHG6	ceRNA or sponge	E2F7
DBH-AS1	ceRNA or sponge	miR-138
kcna3	expression association	YAP1
LINC00473	expression association	MMP2
LINC00473	expression association	MMP9
GAS5	ceRNA or sponge	HOXA5
NIFK-AS1	ceRNA or sponge	miR-146a
FALEC	interact with protein	STAT3
LINC00599	ceRNA or sponge	KLF16
XIST	ceRNA or sponge	miR-214-3p
HOTAIR	expression association	MAP1LC3B
HOTAIR	expression association	ATG3
HOTAIR	expression association	ATG7
HOTAIR	expression association	MTOR
miR-182-5p	expression association	MALAT1
MIR4435-2HG	ceRNA or sponge	miR-6754-5p
MALAT1	ceRNA or sponge	SOCS1
SOX2-OT	ceRNA or sponge	miR-194-5p
MALAT1	expression association	miR-145
VPS9D1-AS1	ceRNA or sponge	MYC
HOXA10-AS	expression association	HOXA10
MALAT1	expression association	HIF1A
MALAT1	expression association	NFKB1
IATPR	expression association	ROCK1
RMRP	ceRNA or sponge	MYC
TMEM75	expression association	SIM2
HOXA-AS2	ceRNA or sponge	HOXA3
PSG10P	ceRNA or sponge	IL1RAP
MALAT1	expression association	CDKN1A
DUXAP8	epigenetic regulation	CDKN1A
DUXAP8	epigenetic regulation	KLF2
LINC00961	expression association	SNAI2
LINC00961	expression association	CDH2
DANCR	ceRNA or sponge	ROCK1
H19	ceRNA or sponge	TWIST1
HOTAIR	expression association	HIF1A
DLX6-AS1	ceRNA or sponge	E2F1
GAS5	expression association	STAT3
GAS5	ceRNA or sponge	miR-21
GAS5	expression association	PTEN
GAS5	expression association	AKT1
HOTAIR	transcriptional regulation	IGF2BP2
MALAT1	ceRNA or sponge	ACVR2B
ZEB1-AS1	expression association	ZEB1
HNF1A-AS1	ceRNA or sponge	CDC34
EGR1	transcriptional regulation	HNF1A-AS1
APTR	ceRNA or sponge	YAP1
Lnc-EPIC1	interact with protein	MYC
PVT1	ceRNA or sponge	miR-519d-3p
SNHG1	ceRNA or sponge	GSK3B
MNX1-AS1	interact with protein	MAPK3
MNX1-AS1	interact with protein	MAPK1
MNX1-AS1	interact with protein	MAPK8
UCA1	ceRNA or sponge	miR-26a
HOXC-AS3	interact with protein	YBX1
miR-212	ceRNA or sponge	MEG3
MEG3	interact with protein	SMO
LINC00460	ceRNA or sponge	KDM2A
UBE2CP3-001	expression association	MMP9
UBE2CP3-001	expression association	TRAF3IP2
MIAT	ceRNA or sponge	miR-330-5p
HAGLR	epigenetic regulation	CDKN1C
SNHG12	ceRNA or sponge	MCL1
MEG3	ceRNA or sponge	PDCD4
FTH1P3	expression association	SP1
FTH1P3	expression association	RELA
NORAD	ceRNA or sponge	ZEB2
OIP5-AS1	ceRNA or sponge	CDK14
THORLNC	expression association	MYC
FOXD2-AS1	ceRNA or sponge	CCND1
HAGLR	ceRNA or sponge	MMP9
LOC441178	transcriptional regulation	ROCK1
TUG1	ceRNA or sponge	miR-219a-5p
FOXM1	transcriptional regulation	TUG1
FALEC	ceRNA or sponge	AKT1
LINC01606	expression association	miR-423-5p
SNHG14	epigenetic regulation	PABPC1
HOTAIR	ceRNA or sponge	MET
PVT1	ceRNA or sponge	GREM1
GAS5	ceRNA or sponge	FOXO3
uc003fir	transcriptional regulation	CCL5
TBILA	interact with protein	GCSAM
SNHG1	epigenetic regulation	CDKN2B
SNHG1	epigenetic regulation	KLF2
SNHG1	ceRNA or sponge	CCND2
NEAT1	transcriptional regulation	miR-342-3p
GSC-DT	ceRNA or sponge	BMI1
NKX2-1-AS1	transcriptional regulation	CD274
ZEB1-AS1	expression association	VIM
ZEB1-AS1	expression association	CDH2
ZEB1-AS1	expression association	CDH1
ZEB1-AS1	expression association	MAPK1
CDKN2B-AS1	expression association	miR-191
MAP3K20-AS1	ceRNA or sponge	YAP1
TWIST1	transcriptional regulation	DUXAP9
DUXAP9	ceRNA or sponge	TWIST1
DGCR5	epigenetic regulation	CDKN1A
SNHG15	ceRNA or sponge	YAP1
SNHG8	ceRNA or sponge	CCND1
SNHG8	expression association	CASP3
SNHG8	ceRNA or sponge	CDK6
CASC15	ceRNA or sponge	TLR4
WSPAR	transcriptional regulation	TCF7
DLX6-AS1	ceRNA or sponge	GADD45A
LINC-ROR	expression association	miR-145
CCAT1	epigenetic regulation	miR-218
LncND	ceRNA or sponge	miR-143-3p
MEG3	ceRNA or sponge	miR-125a-5p
linc-UFC1	ceRNA or sponge	miR-34a
TP53COR1	ceRNA or sponge	PTEN
MIAT	ceRNA or sponge	miR-150
HOTAIRM1	ceRNA or sponge	miR-20a
HOTAIRM1	ceRNA or sponge	miR-125b
HOTAIRM1	ceRNA or sponge	miR-106b
LINC-ROR	ceRNA or sponge	miR-124
LINC-ROR	expression association	PKM
PVT1	ceRNA or sponge	BCL2
PVT1	ceRNA or sponge	CCND1
PVT1	ceRNA or sponge	FASN
MALAT1	ceRNA or sponge	ELAVL1
TUG1	ceRNA or sponge	miR-9
HOTAIR	ceRNA or sponge	PTEN
MIAT	ceRNA or sponge	miR-29b
ZFAS1	ceRNA or sponge	CRP
LINC-ROR	ceRNA or sponge	FSCN1
GAS5	ceRNA or sponge	PTEN
LINC-ROR	ceRNA or sponge	let-7family
PART1	ceRNA or sponge	DNMT3A
FOXD3-AS1	ceRNA or sponge	miR-150
cir-GLI2	ceRNA or sponge	miR-125b-5p
PTENP1	ceRNA or sponge	PTEN
PCA3	ceRNA or sponge	miR-106b
SNHG12	ceRNA or sponge	miR-138
circGFRA1	ceRNA or sponge	GFRA1
LNCRNA-ATB	ceRNA or sponge	ZEB1
LINC01619	ceRNA or sponge	FOXO1
TUSC7	ceRNA or sponge	miR-10a
GAS5	ceRNA or sponge	miR-23a
MALAT1	ceRNA or sponge	miR-101
LINC-ROR	ceRNA or sponge	RAD18
FLVCR1-DT	ceRNA or sponge	MET
NEAT1	ceRNA or sponge	BCL2
NEAT1	ceRNA or sponge	CCND1
UCA1	ceRNA or sponge	HK2
NEAT1	ceRNA or sponge	miR-204
MALAT1	ceRNA or sponge	FOXQ1
LINC00483	ceRNA or sponge	SPAG9
H19	ceRNA or sponge	let-7b
DUXAP10	epigenetic regulation	CDKN1A
LINC01139	expression association	TGFB1
snaR	expression association	GAB2
SNHG20	ceRNA or sponge	RUNX2
WDFY3-AS2	expression association	CDH2
MIAT	expression association	CDH2
MEG3	expression association	CDH2
LINC01446	ceRNA or sponge	TPT1
RAD51-AS1	interact with mRNA	RAD51
SLCO4A1-AS1	interact with protein	CTNNB1
SMAD4	transcriptional regulation	LINP1
lncR-D63785	ceRNA or sponge	MEF2D
HOXA11-AS	epigenetic regulation	RND3
HOXA11-AS	ceRNA or sponge	HOXA7
HOTAIR	ceRNA or sponge	miR-330-5p
XIST	ceRNA or sponge	NOD2
LINC01605	expression association	MMP9
NEAT1	interact with protein	DDX5
MIR31HG	ceRNA or sponge	ST7L
SNHG1	ceRNA or sponge	YAP1
MEG3	ceRNA or sponge	miR-182
HOTTIP	epigenetic regulation	LATS2
LINC00460	ceRNA or sponge	MMP9
HOXB13-AS1	epigenetic regulation	HOXB13
RP11-543N12.1	ceRNA or sponge	miR-324-3p
CRRL	ceRNA or sponge	HOPX
MALAT1	expression association	NFE2L1
MALAT1	epigenetic regulation	KEAP1
SNHG6	epigenetic regulation	CDKN1A
TUG1	expression association	AURKA
UCA1	ceRNA or sponge	BRD4
UCA1	ceRNA or sponge	MYC
SNHG1	ceRNA or sponge	SIAH1
lncRNA-ECM	expression association	ICAM1
UCA1	ceRNA or sponge	ZEB1
XIST	ceRNA or sponge	miR-155-5p
JPX	expression association	XIST
SNHG5	ceRNA or sponge	GSK3B
AGAP2-AS1	epigenetic regulation	MYD88
ANCR	expression association	TGFB1
NEAT1	ceRNA or sponge	miR-506
RP11-79H23.3	ceRNA or sponge	PTEN
CDKN2B-AS1	expression association	miR-203a
TINCR	expression association	TRIP13
CDKN2B-AS1	ceRNA or sponge	BMI1
CDKN2B-AS1	expression association	CASP3
CDKN2B-AS1	expression association	BCL2
CDKN2B-AS1	expression association	MTA1
CDKN2B-AS1	expression association	TIMP2
CDKN2B-AS1	expression association	CDH1
DLEU1	epigenetic regulation	KPNA3
E2F1	transcriptional regulation	LSINCT5
DNMT1	epigenetic regulation	MEG3
NEAT1	expression association	IL6
PVT1-214	ceRNA or sponge	LIN28A
PVT1	ceRNA or sponge	IGF1R
TINCR	ceRNA or sponge	FBXW7
ETS1-AS1	interact with protein	HNRNPK
GAS8-AS1	expression association	ATG5
FOXD2-AS1	ceRNA or sponge	S100A1
PVT1	epigenetic regulation	miR-200c
H19	ceRNA or sponge	EZH2
H19	ceRNA or sponge	E2F3
CDKN2B-AS1	ceRNA or sponge	SIRT1
XIST	ceRNA or sponge	TGFB1
HIF1A	transcriptional regulation	UCA1
TUG1	ceRNA or sponge	SOX4
HOXA9	transcriptional regulation	HOTAIR
SPRY4-IT1	expression association	CDC20
LNC00312	expression association	CCNB1
MYCNOS-01	expression association	MYCN
HNF1A	transcriptional regulation	HNF1A-AS1
HNF1A-AS1	interact with protein	PTPN6
UCA1	ceRNA or sponge	YAP1
LINC00261	expression association	HES1
LINC00261	expression association	NOTCH1
CDKN2B-AS1	expression association	TGFB1
CDKN2B-AS1	expression association	SMAD2
CDKN2B-AS1	expression association	SMAD7
CDKN2B-AS1	expression association	let-7a
H19	epigenetic regulation	NKD1
CDKN2B-AS1	expression association	PI3K
CDKN2B-AS1	expression association	AKT1
HOTAIR	ceRNA or sponge	MAPK1
H19	ceRNA or sponge	miR-152
NCK1-DT	ceRNA or sponge	CDK1
SPRY4-IT1	expression association	AKT1
CCND2-AS1	expression association	CDH2
CCND2-AS1	expression association	VIM
SNHG7	ceRNA or sponge	miR-5059
UCA1	ceRNA or sponge	HMGB1
BG981369	expression association	SOX4
LINC-PINT	expression association	HMOX1
DANCR	ceRNA or sponge	RAB1A
HNF1A-AS1	ceRNA or sponge	miR-17-5p
HOTTIP	transcriptional regulation	SGK1
XLOC_008466	ceRNA or sponge	miR-216b
OIP5-AS1	ceRNA or sponge	BCL2
SPRY4-IT1	expression association	TGFB1
CCAT1	ceRNA or sponge	miR-148b
HOTAIR	expression association	miR-206
HOTAIR	expression association	MRTFA
LINC00473	ceRNA or sponge	CHUK
SNHG7	ceRNA or sponge	FAIM2
TP73-AS1	ceRNA or sponge	PPP1R13L
CERNA2	expression association	BCL2
CERNA2	expression association	BAX
AF119895	ceRNA or sponge	NXF3
CRNDE	expression association	NOTCH1
HOTAIR	ceRNA or sponge	miR-34a
CDKN2B-AS1	ceRNA or sponge	miR-122-5p
TP73-AS1	ceRNA or sponge	ZEB1
TP73-AS1	expression association	TWIST1
TP73-AS1	expression association	CDH1
SPRY4-IT1	interact with protein	EZH2
MALAT1	ceRNA or sponge	EGFR
TDRG1	ceRNA or sponge	miR-196
TDRG1	expression association	RHOC
NEAT1	ceRNA or sponge	miR-101
H19	ceRNA or sponge	ERBB2
SNHG12	ceRNA or sponge	miR-320
XLOC_000647	transcriptional regulation	NLRP3
CAV1	expression association	HOTAIR
HAND2-AS1	expression association	HAND2
HAND2-AS1	expression association	NMU
UCA1	ceRNA or sponge	miR-122
FEZF1-AS1	ceRNA or sponge	FEZF1
NKILA	interact with protein	NFKBIA
NKILA	expression association	RELA
CCDC26	interact with protein	KIT
PVT1-5	ceRNA or sponge	SLC7A5
LOC101927497	ceRNA or sponge	miR-574-5p
STAT3	transcriptional regulation	HAGLROS
HAGLROS	ceRNA or sponge	MTOR
HAGLROS	interact with protein	RHEB
H19	expression association	CDH1
H19	expression association	ZEB1
H19	expression association	VIM
LINC00460	ceRNA or sponge	IL6
SNHG12	ceRNA or sponge	NOTCH2
SNHG15	ceRNA or sponge	miR-211-3p
SNHG20	expression association	CTNNB1
LINC00176	ceRNA or sponge	miR-9
LINC00176	ceRNA or sponge	miR-185
MYC	transcriptional regulation	LINC00176
KRAS	transcriptional regulation	CCAT2
HAGLR	ceRNA or sponge	FZD4
miR-196a	ceRNA or sponge	GAS5
LUCAT1	ceRNA or sponge	ABCB1
CPS1-IT1	expression association	HIF1A
TUG1	ceRNA or sponge	FOXA1
CYTOR	epigenetic regulation	BRCA1
CYTOR	epigenetic regulation	PTEN
TP53COR1	expression association	miR-130b
TP53COR1	expression association	PTEN
CASC2	ceRNA or sponge	MTOR
MALAT1	ceRNA or sponge	FBXW8
DUXAP9	ceRNA or sponge	MMP9
WSPAR	ceRNA or sponge	EPCAM
GACAT3	ceRNA or sponge	miR-497
CCAT1	ceRNA or sponge	miR-143
HULC	interact with protein	BECN1
HULC	expression association	MTOR
GACAT3	ceRNA or sponge	CCND2
H19	transcriptional regulation	CDH1
AB073614	expression association	JAK2
AB073614	expression association	STAT3
DANCR	ceRNA or sponge	miR-216a
TMEM238L	interact with protein	VIM
CCAT1	ceRNA or sponge	HOXA1
GAS5	ceRNA or sponge	ATG3
LINC00518	ceRNA or sponge	ABCC1
RP11-789C1.1	ceRNA or sponge	CDH1
PVT1	ceRNA or sponge	INCENP
PCGEM1	expression association	RHOA
PCGEM1	expression association	YAP1
PCGEM1	expression association	MMP2
PCGEM1	expression association	BCL2L1
PCGEM1	expression association	RPS6KB1
RCC2-AS1	interact with protein	RCC2
LINC01121	transcriptional regulation	GLP1R
MT1JP	ceRNA or sponge	RUNX3
MT1JP	expression association	CDKN1A
MT1JP	expression association	BCL2L11
SH3PXD2A-AS1	epigenetic regulation	CDKN1C
SH3PXD2A-AS1	epigenetic regulation	KLF2
HOTAIR	ceRNA or sponge	miR-203a-3p
LNCDQ	epigenetic regulation	CDH1
CYTOR	ceRNA or sponge	BMI1
SNHG12	ceRNA or sponge	miR-424-5p
SNHG16	ceRNA or sponge	PRMT5
LINC00707	expression association	CDC42
EPEL	expression association	CCNB1
GAS5	ceRNA or sponge	TIMP2
DGCR5	interact with protein	EGFR
HOXA-AS2	ceRNA or sponge	EGFR
ZEB1-AS1	ceRNA or sponge	miR-335-5p
PVT1	ceRNA or sponge	miR-497
miR-548k	ceRNA or sponge	NPTN-IT1
BISPR	expression association	miR-21-5p
SNHG1	ceRNA or sponge	NOB1
NEAT1	ceRNA or sponge	MCL1
H19	expression association	E2F1
HULC	ceRNA or sponge	miR-122
TP73-AS1	ceRNA or sponge	TFAM
Lnc-EGFR	expression association	EGFR
AC078922.1	ceRNA or sponge	miR-31
RP11-317J10.2	expression association	CCND1
PCAT7	ceRNA or sponge	miR-134-5p
NPTN-IT1	expression association	NOTCH1
SUMO1P3	ceRNA or sponge	miR-320a
PVT1	expression association	EZH2
SNHG1	expression association	CDH1
SNHG1	expression association	VIM
SNHG1	expression association	CDH2
SNHG1	expression association	HES2
CCAT2	ceRNA or sponge	miR-216b
CCAT1	ceRNA or sponge	miR-219-1
HULC	expression association	ZIC2
PVT1	epigenetic regulation	miR-214
SALL4	transcriptional regulation	DANCR
CCAT1	ceRNA or sponge	SOX4
uc.38	interact with protein	PBX1
MEG3	interact with protein	PI3K
HAGLR	ceRNA or sponge	miR-133a-3p
SOX21-AS1	ceRNA or sponge	MYO6
FALEC	epigenetic regulation	CDKN1A
DLX6-AS1	ceRNA or sponge	MMP2
HNF1A-AS1	expression association	CTNNB1
HNF1A-AS1	expression association	CCND1
HNF1A-AS1	expression association	MYC
ZEB2-AS1	ceRNA or sponge	miR-27b
CDKN2B-AS1	ceRNA or sponge	miR-199a
ZEB1-AS1	expression association	STAT3
HOTTIP	expression association	HOXA9
HNF1A-AS1	ceRNA or sponge	SIRT1
HNF1A-AS1	expression association	TP53
UCA1	ceRNA or sponge	SF1
H19	ceRNA or sponge	E2F1
TP53COR1	expression association	PKM
MIR31HG	epigenetic regulation	miR-31
MIR31HG	ceRNA or sponge	RNF144B
CRNDE	ceRNA or sponge	IRS1
GAS5	ceRNA or sponge	miR-222
MIR210HG	ceRNA or sponge	miR-503
NEAT1	ceRNA or sponge	HMGA2
BANCR	ceRNA or sponge	NOTCH2
MALAT1	ceRNA or sponge	ZEB1
MALAT1	expression association	FGF2
GAS5	ceRNA or sponge	DIRAS3
CDKN2B-AS1	ceRNA or sponge	BRI3
PTCSC3	ceRNA or sponge	SCAI
CCAT1	ceRNA or sponge	FGFR3
CCAT1	ceRNA or sponge	PDGFRA
LNCARSR	interact with mRNA	PTEN
Lnc-BM	interact with protein	JAK2
Lnc-BM	expression association	STAT3
WT1	transcriptional regulation	MEG3
LINC-ROR	expression association	TP53
LINC-ROR	expression association	MYC
XIST	ceRNA or sponge	ATG7
MIAT	ceRNA or sponge	HDAC4
MALAT1	ceRNA or sponge	ATG12
XIST	ceRNA or sponge	PPP1R13L
lncHERG	ceRNA or sponge	miR-940
NORAD	ceRNA or sponge	RHOA
DANCR	epigenetic regulation	NPTN-IT1
ILF3-DT	epigenetic regulation	miR-200b
ILF3-DT	epigenetic regulation	miR-200a
ILF3-DT	epigenetic regulation	miR-429
SOX2	transcriptional regulation	PVT1
NEAT1	ceRNA or sponge	MAPK6
UCA1	ceRNA or sponge	miR-135a
FTH1P3	ceRNA or sponge	miR-224-5p
LINC00473	interact with mRNA	ILF2
HOXA11-AS	ceRNA or sponge	EZH2
PCAT1	ceRNA or sponge	HMGB1
PCAT1	ceRNA or sponge	FSCN1
MALAT1	ceRNA or sponge	miR-129-5p
HOTTIP	ceRNA or sponge	ZEB1
FEZF1-AS1	epigenetic regulation	CDH1
UCA1	interact with protein	GRK2
LINC00963	interact with protein	PGK1
CCAT1	ceRNA or sponge	miR-152
YY1	transcriptional regulation	PVT1
HOTAIR	expression association	FASN
NORAD	ceRNA or sponge	PTEN
XIST	ceRNA or sponge	PDCD4
SOX2-OT	expression association	SOX2
MEG3	ceRNA or sponge	ADH4
DLEU1	ceRNA or sponge	CDK1
PCAT1	expression association	MYC
PWAR5	interact with protein	EZH2
SNHG15	ceRNA or sponge	VEGFA
SNHG15	ceRNA or sponge	CDC42
AP000439.3	expression association	CCND1
MIAT	ceRNA or sponge	ZEB1
MT1DP	expression association	MT1F
RP11-436H11.5	ceRNA or sponge	BCL2L2
SNHG17	epigenetic regulation	CDKN1C
MALAT1	ceRNA or sponge	BCL2
MALAT1	ceRNA or sponge	MMP13
UICLM	ceRNA or sponge	ZEB2
Lnc-Myd88	epigenetic regulation	MYD88
HULC	interact with protein	ATG7
HULC	expression association	ITGB1
